,facility,index,predate,postdate,change_area,image_area,proportion,cumulative_area,cumulative_prop,model
48,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,447500.0,42801600,0.010455216627415798,447500.0,0.010455216627415798,LSNet
49,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,70400.0,42801600,0.0016447983252962507,498000.0,0.011635079062464955,LSNet
50,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,453500.0,42801600,0.010595398302867183,851500.0,0.019894116107809053,LSNet
51,Mianchi,43,2019-03-01,2019-04-01,1183500.0,83148700,0.014233535821967151,1183500.0,0.014233535821967151,LSNet
52,Mianchi,44,2019-04-01,2019-05-01,888800.0,83148700,0.010689283175804313,1712000.0,0.02058961835843495,LSNet
53,Mianchi,45,2019-05-01,2019-06-01,509900.0,83148700,0.006132386916452091,2009100.0,0.024162734955567554,LSNet
54,Mianchi,46,2019-06-01,2019-07-01,692100.0,83148700,0.008323641860907026,2310700.0,0.02778997146076848,LSNet
55,Mianchi,47,2020-02-01,2020-04-01,908600.0,83148700,0.010927410771304904,2802300.0,0.03370227075107608,LSNet
56,Gunnedah_vickery,31,2019-01-01,2019-02-01,255600.0,36892400,0.006928256226214614,255600.0,0.006928256226214614,DDPMCD
57,Gunnedah_vickery,32,2019-02-01,2019-03-01,226100.0,36892400,0.006128633539699234,327100.0,0.008866324771497652,DDPMCD
58,Gunnedah_vickery,33,2019-03-01,2019-04-01,650800.0,36892400,0.017640489640142684,739300.0,0.020039357699688825,DDPMCD
59,Gunnedah_vickery,34,2019-04-01,2019-05-01,360100.0,36892400,0.00976081794624367,811600.0,0.02199911092799601,DDPMCD
60,Gunnedah_vickery,35,2019-05-01,2019-06-01,427000.0,36892400,0.01157419956413787,919500.0,0.024923832550877687,DDPMCD
61,Gunnedah_vickery,36,2020-02-01,2020-03-01,601100.0,36892400,0.016293328707267622,1256700.0,0.034063926445555184,DDPMCD
62,Gunnedah_vickery,37,2020-11-01,2020-12-01,962900.0,36892400,0.0261002266049376,1598500.0,0.043328707267621516,DDPMCD
63,Werris Creek,72,2019-03-01,2019-04-01,843900.0,89015500,0.009480371395992832,843900.0,0.009480371395992832,DDPMCD
64,Werris Creek,73,2019-07-01,2019-08-01,478900.0,89015500,0.005379961916744836,1133500.0,0.012733737382815353,DDPMCD
65,Werris Creek,74,2019-11-01,2019-12-01,606200.0,89015500,0.0068100499351236585,1388200.0,0.015595036819430324,DDPMCD
66,Werris Creek,75,2020-03-01,2020-04-01,867600.0,89015500,0.009746617162179621,1721600.0,0.019340451943762604,DDPMCD
67,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,1026200.0,42801600,0.02397573922470188,1026200.0,0.02397573922470188,DDPMCD
68,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,296100.0,42801600,0.0069179656835258495,1102800.0,0.025765391947964563,DDPMCD
69,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,689400.0,42801600,0.016106874509364134,1510800.0,0.03529774587865874,DDPMCD
70,Mianchi,43,2019-03-01,2019-04-01,803100.0,83148700,0.009658599593258824,803100.0,0.009658599593258824,DDPMCD
71,Mianchi,44,2019-04-01,2019-05-01,1108400.0,83148700,0.013330334689538141,1568800.0,0.018867402617238755,DDPMCD
72,Mianchi,45,2019-05-01,2019-06-01,604300.0,83148700,0.00726770232126299,1911600.0,0.022990136947420706,DDPMCD
73,Mianchi,46,2019-06-01,2019-07-01,839100.0,83148700,0.010091558857805353,2334800.0,0.028079813635089906,DDPMCD
74,Mianchi,47,2020-02-01,2020-04-01,858700.0,83148700,0.010327281124058464,2930900.0,0.035248897457206184,DDPMCD
