,facility,index,predate,postdate,NDTCI,model
0,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.005068789588104515,DDPMCD
1,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0044968566452756095,DDPMCD
2,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.012764133780954097,DDPMCD
3,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.0061340485764066945,DDPMCD
4,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.0076899230275147105,DDPMCD
5,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.008942212219869943,DDPMCD
6,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.015572297424417353,DDPMCD
7,Werris Creek,72,2019-03-01,2019-04-01,0.007169530719937968,DDPMCD
8,Werris Creek,73,2019-07-01,2019-08-01,0.003695981834628003,DDPMCD
9,Werris Creek,74,2019-11-01,2019-12-01,0.00468232592301809,DDPMCD
10,Werris Creek,75,2020-03-01,2020-04-01,0.006110165713842466,DDPMCD
11,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.014702706690886077,DDPMCD
12,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.0022662681535292376,DDPMCD
13,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.0071913127593432906,DDPMCD
14,Mianchi,43,2019-03-01,2019-04-01,0.004775776445096521,DDPMCD
15,Mianchi,44,2019-04-01,2019-05-01,0.006850370846454241,DDPMCD
16,Mianchi,45,2019-05-01,2019-06-01,0.003175031431643117,DDPMCD
17,Mianchi,46,2019-06-01,2019-07-01,0.004695197995884366,DDPMCD
18,Mianchi,47,2020-02-01,2020-04-01,0.004080636987714051,DDPMCD
19,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.006378001016475896,TinyCD
20,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0055621156335777895,TinyCD
21,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.005483508736222158,TinyCD
22,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.004195981969190261,TinyCD
23,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.006784588416591232,TinyCD
24,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.0061557332377461796,TinyCD
25,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.009687622453414726,TinyCD
26,Werris Creek,72,2019-03-01,2019-04-01,0.0064258407580766504,TinyCD
27,Werris Creek,73,2019-07-01,2019-08-01,0.005200212739359584,TinyCD
28,Werris Creek,74,2019-11-01,2019-12-01,0.008068249707081554,TinyCD
29,Werris Creek,75,2020-03-01,2020-04-01,0.0054945432076491055,TinyCD
30,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.006322187240670225,TinyCD
31,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.001969550570541389,TinyCD
32,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.0027826034751065173,TinyCD
33,Mianchi,43,2019-03-01,2019-04-01,0.00880950955938857,TinyCD
34,Mianchi,44,2019-04-01,2019-05-01,0.011848640024449993,TinyCD
35,Mianchi,45,2019-05-01,2019-06-01,0.0051197381835245285,TinyCD
36,Mianchi,46,2019-06-01,2019-07-01,0.0054384439901099145,TinyCD
37,Mianchi,47,2020-02-01,2020-04-01,0.0043933294771940565,TinyCD
38,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.005014577934755803,LSNet
39,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.004445355574594334,LSNet
40,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.007803767499547007,LSNet
41,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.005014577934755804,LSNet
42,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.005754567002965715,LSNet
43,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.012230148995469288,LSNet
44,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.009047924943899933,LSNet
