,facility,index,predate,postdate,NDTCI,model
0,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.005068789588104515,DDPMCD
1,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0044968566452756095,DDPMCD
2,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.01308940370104637,DDPMCD
3,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.0061340485764066945,DDPMCD
4,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.007960981294258268,DDPMCD
5,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.009646963713403192,DDPMCD
6,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.026089358174067358,DDPMCD
7,Werris Creek,72,2019-03-01,2019-04-01,0.007675060150206236,DDPMCD
8,Werris Creek,73,2019-07-01,2019-08-01,0.0037836069358745026,DDPMCD
9,Werris Creek,74,2019-11-01,2019-12-01,0.0048620697204468065,DDPMCD
10,Werris Creek,75,2020-03-01,2020-04-01,0.006549414618808894,DDPMCD
11,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.01701336566391743,DDPMCD
12,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.002950821317430337,DDPMCD
13,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.009406181016606917,DDPMCD
14,Mianchi,43,2019-03-01,2019-04-01,0.006400574726971463,DDPMCD
15,Mianchi,44,2019-04-01,2019-05-01,0.009283358947292885,DDPMCD
16,Mianchi,45,2019-05-01,2019-06-01,0.03141356855852963,DDPMCD
17,Mianchi,46,2019-06-01,2019-07-01,0.01715358837482037,DDPMCD
18,Mianchi,47,2020-02-01,2020-04-01,0.008508843704119338,DDPMCD
19,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.006378001016475896,TinyCD
20,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.0055621156335777895,TinyCD
21,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.0055404309722383045,TinyCD
22,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.004195981969190261,TinyCD
23,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.006784588416591232,TinyCD
24,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.0061611544030810515,TinyCD
25,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.011593162068621932,TinyCD
26,Werris Creek,72,2019-03-01,2019-04-01,0.0064258407580766504,TinyCD
27,Werris Creek,73,2019-07-01,2019-08-01,0.005458594448163365,TinyCD
28,Werris Creek,74,2019-11-01,2019-12-01,0.008796212086667862,TinyCD
29,Werris Creek,75,2020-03-01,2020-04-01,0.005599019289904548,TinyCD
30,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,0.007492703060173469,TinyCD
31,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,0.002591022043571056,TinyCD
32,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,0.004368991182576985,TinyCD
33,Mianchi,43,2019-03-01,2019-04-01,0.010784282896796903,TinyCD
34,Mianchi,44,2019-04-01,2019-05-01,0.014623184536874494,TinyCD
35,Mianchi,45,2019-05-01,2019-06-01,0.01605074601769282,TinyCD
36,Mianchi,46,2019-06-01,2019-07-01,0.012227479002089233,TinyCD
37,Mianchi,47,2020-02-01,2020-04-01,0.006262268433547618,TinyCD
38,Gunnedah_vickery,31,2019-01-01,2019-02-01,0.005014577934755803,LSNet
39,Gunnedah_vickery,32,2019-02-01,2019-03-01,0.004445355574594334,LSNet
40,Gunnedah_vickery,33,2019-03-01,2019-04-01,0.007855268570228282,LSNet
41,Gunnedah_vickery,34,2019-04-01,2019-05-01,0.005014577934755804,LSNet
42,Gunnedah_vickery,35,2019-05-01,2019-06-01,0.005754567002965715,LSNet
43,Gunnedah_vickery,36,2020-02-01,2020-03-01,0.01223557016080416,LSNet
44,Gunnedah_vickery,37,2020-11-01,2020-12-01,0.009083162518576595,LSNet
