facility,index,predate,postdate,change_area,image_area,proportion,cumulative_area,cumulative_prop,model
Amazon,0,2020-07-15,2020-11-02,749800,169290000,0.0044290861834721485,749800,0.0044290861834721485,TinyCD
Amazon,1,2020-11-02,2021-03-24,45500,169290000,0.00026876956701518104,789000,0.004660641502746766,TinyCD
Amazon,2,2021-03-24,2021-05-23,8600,169290000,5.080040167759466e-05,797600,0.00471144190442436,TinyCD
Amazon,3,2021-05-23,2021-11-24,77200,169290000,0.0004560222104081753,874800,0.005167464114832536,TinyCD
Amazon,4,2021-11-24,2022-01-18,368800,169290000,0.0021785102486856873,1241200,0.007331797507236104,TinyCD
Amazon,5,2022-01-18,2022-03-07,648700,169290000,0.003831886112587867,1822700,0.010766731643924627,TinyCD
Amazon,6,2022-03-07,2022-11-27,487900,169290000,0.0028820367416858643,2256400,0.013328607714572626,TinyCD
Amazon_baseline,7,2020-03-22,2020-05-01,41900,166662000,0.00025140703939710313,41900,0.00025140703939710313,TinyCD
Amazon_baseline,8,2020-05-01,2020-07-15,146300,166662000,0.0008778245790882145,188200,0.0011292316184853175,TinyCD
Amazon_baseline,9,2020-07-15,2020-11-02,1357900,166662000,0.00814762813358774,1472300,0.008834047353325894,TinyCD
Amazon_baseline,10,2020-11-02,2021-01-28,448700,166662000,0.002692275383710744,1829600,0.010977907381406679,TinyCD
Amazon_baseline,11,2021-01-28,2021-03-24,280600,166662000,0.0016836471421199793,2041600,0.012249942998403955,TinyCD
Amazon_baseline,12,2021-03-24,2021-05-23,4900,166662000,2.9400823223050244e-05,2046500,0.012279343821627006,TinyCD
Amazon_baseline,13,2021-05-23,2021-07-27,145800,166662000,0.0008748244950858625,2192300,0.013154168316712869,TinyCD
Amazon_baseline,14,2021-07-27,2021-09-15,0,166662000,0.0,2192300,0.013154168316712869,TinyCD
Amazon_baseline,15,2021-09-15,2021-11-24,23200,166662000,0.00013920389770913586,2208500,0.013251371038389075,TinyCD
Amazon_baseline,16,2021-11-24,2022-01-18,254100,166662000,0.0015246426899953199,2449600,0.014698011544323241,TinyCD
Amazon_baseline,17,2022-01-18,2022-03-07,29600,166662000,0.0001776049729392423,2478100,0.014869016332457309,TinyCD
Amazon_baseline,18,2022-03-07,2022-07-07,300,166662000,1.8000504014112395e-06,2478400,0.01487081638285872,TinyCD
Amazon_baseline,19,2022-07-07,2022-09-08,1064700,166662000,0.006388378874608489,3525300,0.021152392266983476,TinyCD
Amazon_baseline,20,2022-09-08,2022-11-27,1774800,166662000,0.010649098174748893,4839600,0.029038413075566115,TinyCD
Carrapateena,21,2019-01-25,2019-03-26,13500,4743000,0.0028462998102466793,13500,0.0028462998102466793,TinyCD
